apg,college,draft_year,gp,mp,mpg,player,ppg,rank,rbg,team,ws,ws_48,yrs
,Iowa State University,1980,,,,Dean Uthoff,,129,,SAS,,,
,University of New Mexico,1980,,,,Everette Jefferson,,130,,HOU,,,
,Kent State University,1980,,,,Trent Grooms,,131,,KCK,,,
,Indiana State University,1980,,,,Alex Gilbert,,132,,MIL,,,
,George Washington University,1980,,,,Mike Zagardo,,133,,ATL,,,
,University of Utah,1980,,,,Coby Leavitt,,134,,PHO,,,
,University of South Carolina,1980,,,,Jim Strickland,,135,,SEA,,,
,Saint Augustine's College,1980,,,,Donald Cooper,,136,,PHI,,,
,University of North Alabama,1980,,,,Odis Boddie,,137,,LAL,,,
,Norfolk State University,1980,,,,Kenny Evans,,138,,BOS,,,
,Gonzaga University,1980,,,,Carl Pierce,,139,,DET,,,
,University of North Carolina,1980,,,,Dave Colescott,,140,,UTA,,,
3.5,University of Washington,1980,291,5188,17.8,Lorenzo Romar,5.9,141,1.3,GSW,8.0,.074,5
,Marquette University,1980,,,,Robert Byrd,,142,,CHI,,,
,Vanderbilt University,1980,,,,Tommy Springer,,143,,DEN,,,
,University of Alabama at Birmingham,1980,,,,Larry Spicer,,144,,NJN,,,
,University of Southern California,1980,,,,Paul Anderson,,145,,SDC,,,
,Lafayette College,1980,,,,Charles Naddaff,,146,,IND,,,
,Wilmington College,1980,,,,Leroy Berry,,147,,CLE,,,
,"University of California, Los Angeles",1980,,,,Gig Sims,,148,,POR,,,
,Midwestern State University,1980,,,,Tony Forch,,149,,DAL,,,
,University of Louisville,1980,,,,Bobby Turner,,150,,NYK,,,
,Stephen F. Austin State University,1980,,,,Karl Godine,,151,,WSB,,,
,University of Arizona,1980,,,,Joe Nehls,,152,,HOU,,,
,University of Arkansas,1980,,,,Allan Zahn,,153,,SAS,,,
,Montana State University,1980,,,,Arnold McDowell,,154,,KCK,,,
,Furman University,1980,,,,Ron White,,155,,MIL,,,
,Dillard University,1980,,,,Charles Hightower,,156,,ATL,,,
,University of Montana-Western,1980,,,,Ron Williams,,157,,PHO,,,
,Seattle University,1980,,,,Carl Ervin,,158,,SEA,,,
,Weber State University,1980,,,,Richard Smith,,159,,PHI,,,
,Virginia Polytechnic Institute and State University,1980,,,,Les Hanson,,160,,BOS,,,
,Fairmont State University,1980,,,,Leroy Loggins,,161,,DET,,,
,La Salle University,1980,,,,Kurt Kanaskie,,162,,GSW,,,
,Saint Peter's College,1980,,,,Jim Brandon,,163,,UTA,,,
,North Park University,1980,,,,Modzel Greer,,164,,CHI,,,
,University of New Orleans,1980,,,,Lloyd Terry,,165,,NJN,,,
,Ohio State University,1980,,,,Jim Ellinghausen,,166,,CLE,,,
,James Madison University,1980,,,,Steve Stielper,,167,,IND,,,
0.5,University of Montana,1980,46,293,6.4,John Stroeder,1.8,168,1.8,POR,-0.1,-0.010,2
0.4,Lamar University,1980,51,447,8.8,Clarence Kea,3.9,169,2.5,DAL,1.0,.107,2
,Auburn University,1980,,,,Rich Valavicious,,170,,WSB,,,
,University of Pennsylvania,1980,,,,James Salters,,171,,NYK,,,
,University of Texas-Pan American,1980,,,,Bill Bailey,,172,,SAS,,,
,Bowling Green State University,1980,,,,Rosie Barnes,,173,,HOU,,,
,Virginia Union University,1980,,,,Keith Valentine,,174,,MIL,,,
,La Salle University,1980,,,,Jim Conolly,,175,,PHO,,,
,Georgetown University,1980,,,,Al Dutch,,176,,SEA,,,
,Grambling State University,1980,,,,Martin Lemelle,,177,,PHI,,,
,Edinboro University of Pennsylvania,1980,,,,Melvin Hooker,,178,,LAL,,,
,Boston University,1980,,,,Steve Wright,,179,,BOS,,,
,Huron University,1980,,,,Terry Dupris,,180,,DET,,,
,University of Texas at Arlington,1980,,,,Paul Renfro,,181,,UTA,,,
1.2,University of San Francisco,1980,59,597,10.1,Billy Reid,3.2,182,1.0,GSW,-0.6,-0.050,1
,University of Kentucky,1980,,,,Jay Shidler,,183,,CHI,,,
,University of South Carolina,1980,,,,Jim Graziano,,184,,DEN,,,
,Colorado State University,1980,,,,Barry Young,,185,,NJN,,,
,Kenyon College,1980,,,,Scott Rogers,,186,,IND,,,
,Central State University,1980,,,,Melvin Crafter,,187,,CLE,,,
,University of Maine,1980,,,,Rich Boucher,,188,,POR,,,
,University of Houston,1980,,,,Ken Williams,,189,,DAL,,,
,Monmouth University,1980,,,,Don Wiley,,190,,NYK,,,
,Alcorn State University,1980,,,,Clinton Wyatt,,191,,WSB,,,
,University of North Texas,1980,,,,Al Williams,,192,,SAS,,,
,Delta State University,1980,,,,Charley Cole,,193,,KCK,,,
,Illinois State University,1980,,,,Del Yarbrough,,194,,MIL,,,
,Franciscan University of Steubenville,1980,,,,Stanley Lamb,,195,,ATL,,,
,North Park University,1980,,,,Keith French,,196,,PHO,,,
,Eastern Kentucky University,1980,,,,Jim Tillman,,197,,SEA,,,
,Saint Joseph's University,1980,,,,Luke Griffin,,198,,PHI,,,
,Northwestern University,1980,,,,Brian Jung,,199,,BOS,,,
,University of Nebraska at Kearney,1980,,,,Tim Higgins,,200,,GSW,,,
,Middle Tennessee State University,1980,,,,Leroy Coleman,,201,,UTA,,,
,Regis University,1980,,,,Earl Sango,,202,,DEN,,,
,"Montana State University, Billings",1980,,,,Billy Foster,,203,,CHI,,,
,West Virginia Wesleyan College,1980,,,,John Bates,,204,,IND,,,
,Yeshiva University,1980,,,,Dave Kufeld,,205,,POR,,,
,"California State University, Fullerton",1980,,,,Tom Morgan,,206,,DAL,,,
